FirstName,MiddleName,LastName,GenerationCodeOrSuffix,Birthdate,Sex,RaceEthnicity,PersonIdentifiers,IdentificationSystems,PersonIdentifierTypes
EDITH,M,ADAMS,III,1965-05-15,Female,"White,Black|AmericanIndianOrAlaskaNative",989897099|40420|6202378625|124031,PersonIdentificationSystem_SSN|PersonIdentificationSystem_EducatorID|PersonIdentificationSystem_State|PersonIdentificationSystem_SSN,PersonIdentifierType_PersonIdentifier|PersonIdentifierType_StaffMemberIdentifier|PersonIdentifierType_StudentIdentifier|PersonIdentifierType_StaffMemberIdentifier
Jane,A,Doe,Jr,1990-03-22,Female,Black,987654321,ceds:NI001571173129
Michael,,Johnson,,1978-11-30,Male,Hispanic,456789123,ceds:NI001571173127
Emily,Rose,Williams,,1982-07-08,Female,Asian,789123456,ceds:NI001571173131
David,Lee,Brown,,1995-01-12,Male,White,321654987,ceds:NI001571173121
Sarah,Ann,Davis,,1988-09-25,Female,Black,654987321,ceds:NI001571173118
James,,Garcia,,1975-12-03,Male,Hispanic,147258369,ceds:NI001571173130
Olivia,Mae,Martinez,,1992-04-17,Female,Asian,963852741,ceds:NI001571173125
William,,Anderson,,1980-06-29,Male,White,852741963,ceds:NI001571173136
Sophia,Grace,Taylor,,1987-08-14,Female,Black,741963852,ceds:NI001571173126
Alexander,,Thomas,,1993-02-19,Male,Hispanic,369258147,ceds:NI001571173122
Isabella,,Jackson,,1979-10-05,Female,Asian,258147369,ceds:NI001571173117
Ethan,James,White,,1984-11-21,Male,White,159753468,ceds:NI001571173134
Ava,Lily,Harris,,1991-05-09,Female,Black,753468159,ceds:NI001571173123
Mason,,Clark,,1977-03-16,Male,Hispanic,468159753,ceds:NI001571173135
Charlotte,Emma,Lewis,,1989-07-30,Female,Asian,951357468,ceds:NI001571173128
Logan,,Robinson,,1994-01-28,Male,White,357468951,ceds:NI001571173120
Amelia,Sofia,Walker,,1981-09-11,Female,Black,684951357,ceds:NI001571173116
Lucas,,Hall,,1976-12-07,Male,Hispanic,951357684,ceds:NI001571173133
Harper,Grace,Allen,,1990-06-23,Female,Asian,357684951,ceds:NI001571173119
Benjamin,,Young,,1983-04-02,Male,White,684951357,ceds:NI001571173132
Evelyn,Chloe,King,,1986-08-18,Female,Black,951357684,ceds:NI001571173129
Henry,,Wright,,1992-02-14,Male,Hispanic,357684951,ceds:NI001571173127
Abigail,Mia,Lopez,,1978-10-31,Female,Asian,684951357,ceds:NI001571173131
Jackson,,Hill,,1985-05-27,Male,White,951357684,ceds:NI001571173121
Ella,Harper,Green,,1991-03-08,Female,Black,357684951,ceds:NI001571173118
Aiden,,Adams,,1979-11-19,Male,Hispanic,684951357,ceds:NI001571173130
Elizabeth,Grace,Baker,,1988-07-04,Female,Asian,951357684,ceds:NI001571173125
Samuel,,Nelson,,1993-01-25,Male,White,357684951,ceds:NI001571173136
Grace,Olivia,Carter,,1980-09-16,Female,Black,684951357,ceds:NI001571173126
Sebastian,,Mitchell,,1977-12-12,Male,Hispanic,951357684,ceds:NI001571173122
Chloe,Sophia,Perez,,1987-06-28,Female,Asian,357684951,ceds:NI001571173117
Matthew,,Roberts,,1994-04-09,Male,White,684951357,ceds:NI001571173134
Victoria,Emma,Turner,,1982-08-21,Female,Black,951357684,ceds:NI001571173123
Joseph,,Phillips,,1975-10-03,Male,Hispanic,357684951,ceds:NI001571173135
Lily,Charlotte,Campbell,,1989-02-17,Female,Asian,684951357,ceds:NI001571173128
David,James,Parker,,1990-11-29,Male,White,951357684,ceds:NI001571173120
